Product ID,Brand,Category,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD10139,Blustream,Video Extenders,CAT100EARC,CAT100EARC,100m eARC/ARC Over CAT,191,324,,Davis,,,https://www.blustream-us.com/Attachment/DownloadFile?downloadId=322,"https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/BSSiteImages/cat100earc-515"
PROD10140,Crown,Power Amps,"Crown DCi 2|1250N 2-Channel Power Amplifier, 1250W at 4 Ohms, 70V, Blu-Link",DCI2X1250N-U-USFX,"DCi 2|1250N 2-Channel Power Amplifier, 1250W at 4 Ohms, 70V, Blu-Link",2413.87,4543,4543,FDW,Davis,ADI,https://www.fdwcorp.com/prod/247469-crown-dci-2-1250n-2-channel-power-amplifier-1250w-at-4-ohms-70v-blu-link,https://www.fdwcorp.com/common/products/lgr/341331.jpg?mmr=230
PROD10141,Crown,Power Amps,Crown DCi 2|2400N,DCI2X2400N-U-USFX,"DCi 2|2400N 2-Channel Power Amplifier, 200 W at 4 Ohms, 70 V, Blu-Link",3635.51,6871,6871,FDW,Davis,ADI,https://www.fdwcorp.com/prod/284924-crown-dci-2-2400n-2-channel-power-amplifier-200-w-at-4-ohms-70-v-blu-link,https://www.fdwcorp.com/common/products/lgr/237283.jpg?mmr=230
PROD10142,Crown,Power Amps,DCI4-1250N,DCI4X1250N-U-USFX,"DCi 4|1250N 4-Channel Power Amplifier with BLU Link, 1250W at 4 Ohms, 70V/100V",3082.89,6670,,FDW,Davis,ADI,,
PROD10143,Crown,Power Amps,DCI4-2400N,DCI4X2400N-U-USFX,"DCi 4|2400N 4-Channel Power Amplifier with BluLink, 2400W At 4 Ohms, 70V",4937.1,10750,,FDW,Davis,ADI,,
PROD10144,CanaKit,Custom,Canakit Pi 4 Bundle,Canakit Pi 4 Bundle,"Canakit Pi 4 Bundle with enclosure, 8GB SD card, power, and all necessary accessories",149.99,149.99,,Amazon,,,,
PROD10145,Chief,Display Mounts,XTM1U,XTM1U,Heavy Duty Fixed Mount with Tilt for Extra Large Displays,284.38,455,,Davis,ADI,,,
PROD10146,Command Access Technologies,Access Control,MLRK1-LSDA2,MLRK1-LSDA2,"Motorized Latch Retraction Kit for Townsteel ED1000, LSDA9200 & USCAN 1000 Series Exit Device",430.55,0,,ADI,,,,
PROD10147,Countryman,Microphones,H6DW6T-SR,H6DW6T-SR,"H6 Series Microphone, 3.5mm connector for Sennheiser body pack, Tan Color",510.85,809,,FDW,,,,
PROD10148,Countryman,Microphones,H6OW6L-SL,,High-performance double ear headset microphone,0,439.88,,FDW,,,,
